Datetime,hour,date,month,dayofweek,curtailment_MW,curtailment_MWh,grid_price,profile_util_pct,profile_util_frac,normal_demand_MW,effective_price,daily_rank,shift_scheduled,shiftable_dispatch_MW,total_demand_MW,total_demand_MWh,from_curtailment_MW,from_curtailment_MWh,from_grid_MW,from_grid_MWh,cost_curtailed_gbp,cost_grid_gbp,total_cost_gbp,counterfactual_cost_gbp,savings_gbp,curtailment_absorbed_MWh,curtailment_remaining_MWh
2025-06-12 02:00:00,2,2025-06-12,2025-06,3,2940.0,1470.0,39.02,19.932403160798128,0.1993240316079813,283.73066777068044,20.0,11.0,1.0,100.0,383.73066777068044,191.86533388534022,383.73066777068044,191.86533388534022,0.0,0.0,3837.3066777068043,0.0,3837.3066777068043,7486.585328205976,3649.278650499172,191.86533388534022,1278.1346661146597
2025-06-12 02:30:00,2,2025-06-12,2025-06,3,2939.9359999999997,1469.9679999999998,39.63,19.932403160798128,0.1993240316079813,283.73066777068044,20.0,12.0,1.0,100.0,383.73066777068044,191.86533388534022,383.73066777068044,191.86533388534022,0.0,0.0,3837.3066777068043,0.0,3837.3066777068043,7603.623181876033,3766.316504169229,191.86533388534022,1278.1026661146595
2025-06-12 03:00:00,3,2025-06-12,2025-06,3,2940.0,1470.0,61.01,19.86572834787549,0.1986572834787549,277.9351543560774,20.0,13.0,1.0,100.0,377.9351543560774,188.9675771780387,377.9351543560774,188.9675771780387,0.0,0.0,3779.351543560774,0.0,3779.351543560774,11528.911883632141,7749.560340071367,188.9675771780387,1281.0324228219613
2025-06-12 03:30:00,3,2025-06-12,2025-06,3,2940.0,1470.0,66.35,19.86572834787549,0.1986572834787549,277.9351543560774,20.0,14.0,1.0,100.0,377.9351543560774,188.9675771780387,377.9351543560774,188.9675771780387,0.0,0.0,3779.351543560774,0.0,3779.351543560774,12537.998745762867,8758.647202202093,188.9675771780387,1281.0324228219613
2025-06-12 04:00:00,4,2025-06-12,2025-06,3,2936.0,1468.0,48.53,19.83196069804184,0.1983196069804184,275.0,20.0,15.0,1.0,100.0,375.0,187.5,375.0,187.5,0.0,0.0,3750.0,0.0,3750.0,9099.375,5349.375,187.5,1280.5
2025-06-12 04:30:00,4,2025-06-12,2025-06,3,2935.9359999999997,1467.9679999999998,28.15,19.83196069804184,0.1983196069804184,275.0,20.0,16.0,1.0,100.0,375.0,187.5,375.0,187.5,0.0,0.0,3750.0,0.0,3750.0,5278.125,1528.125,187.5,1280.4679999999998
2025-06-12 05:00:00,5,2025-06-12,2025-06,3,2931.808,1465.904,13.86,19.84568222023917,0.1984568222023917,276.19270324846156,13.86,6.0,1.0,100.0,376.19270324846156,188.09635162423078,376.19270324846156,188.09635162423078,0.0,0.0,3761.9270324846157,0.0,3761.9270324846157,2607.0154335118386,-1154.911598972777,188.09635162423078,1277.8076483757693
2025-06-12 05:30:00,5,2025-06-12,2025-06,3,2919.7439999999997,1459.8719999999998,8.99,19.84568222023917,0.1984568222023917,276.19270324846156,8.99,1.0,1.0,100.0,376.19270324846156,188.09635162423078,376.19270324846156,188.09635162423078,0.0,0.0,3761.9270324846157,0.0,3761.9270324846157,1690.9862011018347,-2070.9408313827807,188.09635162423078,1271.7756483757692
2025-06-12 06:00:00,6,2025-06-12,2025-06,3,2915.672,1457.836,11.33,20.01495781733786,0.20014957817337858,290.9064902205922,11.33,4.0,1.0,100.0,390.9064902205922,195.4532451102961,390.9064902205922,195.4532451102961,0.0,0.0,3909.0649022059224,0.0,3909.0649022059224,2214.4852670996547,-1694.5796351062677,195.4532451102961,1262.3827548897038
2025-06-12 06:30:00,6,2025-06-12,2025-06,3,2895.736,1447.868,11.33,20.01495781733786,0.20014957817337858,290.9064902205922,11.33,5.0,1.0,100.0,390.9064902205922,195.4532451102961,390.9064902205922,195.4532451102961,0.0,0.0,3909.0649022059224,0.0,3909.0649022059224,2214.4852670996547,-1694.5796351062677,195.4532451102961,1252.4147548897038
