Date,Settlement_Period,total_curtailment_MWh,num_farms_curtailed,Datetime,curtailment_MW,Hour,HourInt,Month,MonthInt,dc_util_pct,dc_headroom_pct,absorbed_Small DC cluster (200 MW)_MWh,flex_avail_Small DC cluster (200 MW)_MW,absorbed_Medium portfolio (500 MW)_MWh,flex_avail_Medium portfolio (500 MW)_MW,absorbed_Large portfolio (1 GW)_MWh,flex_avail_Large portfolio (1 GW)_MW,absorbed_Full UK flex (2 GW)_MWh,flex_avail_Full UK flex (2 GW)_MW
2024-11-01,27,5.3,4,2024-11-01 13:00:00,10.6,13.0,13,2024-11,11,21.647201861197274,78.35279813880273,5.3,78.35279813880273,5.3,195.8819953470068,5.3,391.7639906940136,5.3,783.5279813880272
2024-11-01,28,104.384,5,2024-11-01 13:30:00,208.76800000000003,13.5,13,2024-11,11,21.647201861197274,78.35279813880273,39.17639906940136,78.35279813880273,97.9409976735034,195.8819953470068,104.38400000000001,391.7639906940136,104.38400000000001,783.5279813880272
2024-11-01,29,140.03199999999998,5,2024-11-01 14:00:00,280.064,14.0,14,2024-11,11,20.92514068376101,79.07485931623899,39.53742965811949,79.07485931623899,98.84357414529873,197.68714829059746,140.032,395.3742965811949,140.032,790.7485931623899
2024-11-01,30,78.668,3,2024-11-01 14:30:00,157.336,14.5,14,2024-11,11,20.92514068376101,79.07485931623899,39.53742965811949,79.07485931623899,78.668,197.68714829059746,78.668,395.3742965811949,78.668,790.7485931623899
2024-11-01,31,0.6839999999999999,2,2024-11-01 15:00:00,1.368,15.0,15,2024-11,11,20.97721503974748,79.02278496025252,0.684,79.02278496025252,0.684,197.5569624006313,0.684,395.1139248012626,0.684,790.2278496025252
2024-11-02,6,1.518,2,2024-11-02 02:30:00,3.036,2.5,2,2024-11,11,19.943002877736166,80.05699712226384,1.518,80.05699712226384,1.518,200.1424928056596,1.518,400.2849856113192,1.518,800.5699712226384
2024-11-02,7,35.934,2,2024-11-02 03:00:00,71.868,3.0,3,2024-11,11,20.8391851102172,79.1608148897828,35.934,79.1608148897828,35.934,197.902037224457,35.934,395.804074448914,35.934,791.608148897828
2024-11-02,8,247.768,7,2024-11-02 03:30:00,495.536,3.5,3,2024-11,11,20.8391851102172,79.1608148897828,39.5804074448914,79.1608148897828,98.9510186122285,197.902037224457,197.902037224457,395.804074448914,247.768,791.608148897828
2024-11-02,9,298.382,8,2024-11-02 04:00:00,596.764,4.0,4,2024-11,11,20.1202846972612,79.8797153027388,39.9398576513694,79.8797153027388,99.8496441284235,199.699288256847,199.699288256847,399.398576513694,298.382,798.797153027388
2024-11-02,10,267.882,12,2024-11-02 04:30:00,535.764,4.5,4,2024-11,11,20.1202846972612,79.8797153027388,39.9398576513694,79.8797153027388,99.8496441284235,199.699288256847,199.699288256847,399.398576513694,267.882,798.797153027388
2024-11-02,11,367.898,14,2024-11-02 05:00:00,735.7959999999999,5.0,5,2024-11,11,20.02100951624113,79.97899048375888,39.98949524187944,79.97899048375888,99.9737381046986,199.9474762093972,199.9474762093972,399.8949524187944,367.89799999999997,799.7899048375888
2024-11-02,12,493.138,15,2024-11-02 05:30:00,986.276,5.5,5,2024-11,11,20.02100951624113,79.97899048375888,39.98949524187944,79.97899048375888,99.9737381046986,199.9474762093972,199.9474762093972,399.8949524187944,399.8949524187944,799.7899048375888
2024-11-02,13,552.5160000000001,15,2024-11-02 06:00:00,1105.0320000000002,6.0,6,2024-11,11,20.15062663563941,79.84937336436059,39.924686682180294,79.84937336436059,99.81171670545073,199.62343341090147,199.62343341090147,399.24686682180294,399.24686682180294,798.4937336436059
2024-11-02,14,543.36,13,2024-11-02 06:30:00,1086.72,6.5,6,2024-11,11,20.15062663563941,79.84937336436059,39.924686682180294,79.84937336436059,99.81171670545073,199.62343341090147,199.62343341090147,399.24686682180294,399.24686682180294,798.4937336436059
2024-11-02,15,623.816,6,2024-11-02 07:00:00,1247.632,7.0,7,2024-11,11,20.94240086369873,79.05759913630126,39.52879956815063,79.05759913630126,98.82199892037657,197.64399784075314,197.64399784075314,395.2879956815063,395.2879956815063,790.5759913630126
2024-11-02,16,672.05,6,2024-11-02 07:30:00,1344.1,7.5,7,2024-11,11,20.94240086369873,79.05759913630126,39.52879956815063,79.05759913630126,98.82199892037657,197.64399784075314,197.64399784075314,395.2879956815063,395.2879956815063,790.5759913630126
2024-11-02,17,665.1320000000001,5,2024-11-02 08:00:00,1330.264,8.0,8,2024-11,11,21.232180063462582,78.76781993653742,39.38390996826871,78.76781993653742,98.45977492067178,196.91954984134355,196.91954984134355,393.8390996826871,393.8390996826871,787.6781993653742
2024-11-02,18,673.148,5,2024-11-02 08:30:00,1346.296,8.5,8,2024-11,11,21.232180063462582,78.76781993653742,39.38390996826871,78.76781993653742,98.45977492067178,196.91954984134355,196.91954984134355,393.8390996826871,393.8390996826871,787.6781993653742
2024-11-02,19,665.3340000000001,5,2024-11-02 09:00:00,1330.668,9.0,9,2024-11,11,20.89427336329444,79.10572663670555,39.55286331835278,79.10572663670555,98.88215829588194,197.76431659176387,197.76431659176387,395.52863318352775,395.52863318352775,791.0572663670555
2024-11-02,20,621.392,5,2024-11-02 09:30:00,1242.784,9.5,9,2024-11,11,20.89427336329444,79.10572663670555,39.55286331835278,79.10572663670555,98.88215829588194,197.76431659176387,197.76431659176387,395.52863318352775,395.52863318352775,791.0572663670555
2024-11-02,21,462.416,5,2024-11-02 10:00:00,924.832,10.0,10,2024-11,11,21.302743445877145,78.69725655412286,39.34862827706143,78.69725655412286,98.37157069265358,196.74314138530715,196.74314138530715,393.4862827706143,393.4862827706143,786.9725655412286
2024-11-02,22,410.484,5,2024-11-02 10:30:00,820.968,10.5,10,2024-11,11,21.302743445877145,78.69725655412286,39.34862827706143,78.69725655412286,98.37157069265358,196.74314138530715,196.74314138530715,393.4862827706143,393.4862827706143,786.9725655412286
2024-11-02,23,417.884,7,2024-11-02 11:00:00,835.768,11.0,11,2024-11,11,21.02253474165441,78.97746525834559,39.488732629172794,78.97746525834559,98.72183157293199,197.44366314586398,197.44366314586398,394.88732629172796,394.88732629172796,789.7746525834559
2024-11-02,24,599.3340000000001,11,2024-11-02 11:30:00,1198.668,11.5,11,2024-11,11,21.02253474165441,78.97746525834559,39.488732629172794,78.97746525834559,98.72183157293199,197.44366314586398,197.44366314586398,394.88732629172796,394.88732629172796,789.7746525834559
2024-11-02,25,877.606,16,2024-11-02 12:00:00,1755.212,12.0,12,2024-11,11,20.975412269562742,79.02458773043726,39.51229386521863,79.02458773043726,98.78073466304657,197.56146932609315,197.56146932609315,395.1229386521863,395.1229386521863,790.2458773043726
2024-11-02,26,1022.966,16,2024-11-02 12:30:00,2045.932,12.5,12,2024-11,11,20.975412269562742,79.02458773043726,39.51229386521863,79.02458773043726,98.78073466304657,197.56146932609315,197.56146932609315,395.1229386521863,395.1229386521863,790.2458773043726
2024-11-02,27,1177.25,17,2024-11-02 13:00:00,2354.5,13.0,13,2024-11,11,21.647201861197274,78.35279813880273,39.17639906940136,78.35279813880273,97.9409976735034,195.8819953470068,195.8819953470068,391.7639906940136,391.7639906940136,783.5279813880272
2024-11-02,28,1351.2,17,2024-11-02 13:30:00,2702.4,13.5,13,2024-11,11,21.647201861197274,78.35279813880273,39.17639906940136,78.35279813880273,97.9409976735034,195.8819953470068,195.8819953470068,391.7639906940136,391.7639906940136,783.5279813880272
2024-11-02,29,1456.084,17,2024-11-02 14:00:00,2912.168,14.0,14,2024-11,11,20.92514068376101,79.07485931623899,39.53742965811949,79.07485931623899,98.84357414529873,197.68714829059746,197.68714829059746,395.3742965811949,395.3742965811949,790.7485931623899
